fullname,mu,sigma,opp,opp_rating,result,date,score
Villarreal,1663.9182108,291.752894037,Almeria,1336.0817892,1,2013-08-19T00:00:00,2-3
Villarreal,1722.85508374,263.968963767,Real Valladolid,1277.14491626,1,2013-08-24T00:00:00,2-1
Villarreal,1756.55494417,249.445326811,Osasuna,1243.44505583,1,2013-08-31T00:00:00,0-3
Villarreal,1790.65889407,220.127131896,Real Madrid,1860.94272425,0.5,2013-09-14T00:00:00,2-2
Villarreal,1726.72079191,206.310309192,Celta Vigo,1544.95960168,0.5,2013-09-22T00:00:00,0-0
Villarreal,1823.58937628,187.472043986,Espanyol,1690.85706063,1,2013-09-26T00:00:00,2-1
Villarreal,1670.47389513,184.081017422,Real Betis,1534.42443215,0,2013-09-29T00:00:00,1-0
Villarreal,1712.87206913,173.772805274,Granada,1444.63211416,1,2013-10-04T00:00:00,3-0
Villarreal,1612.28533304,165.558843018,Athletic Bilbao,1619.81912746,0,2013-10-21T00:00:00,2-0
Villarreal,1645.70735867,159.698346648,Valencia,1374.46113187,1,2013-10-27T00:00:00,4-1
Villarreal,1578.08795224,152.336153023,Getafe,1659.78104234,0,2013-10-31T00:00:00,0-2
Villarreal,1623.30045051,146.956183933,Elche,1457.72059553,1,2013-11-04T00:00:00,0-1
Villarreal,1658.24355118,146.971980325,Atletico Madrid,1876.87858905,0.5,2013-11-10T00:00:00,1-1
