fullname,mu,sigma,opp,opp_rating,result,date,score
Nurnberg,1500.0,291.750423517,TSG Hoffenheim,1500.0,0.5,2013-08-10T00:00:00,2-2
Nurnberg,1545.48564986,254.323061855,Hertha Berlin,1618.43054851,0.5,2013-08-18T00:00:00,2-2
Nurnberg,1473.44681178,228.110897784,Bayern Munich,1799.12973471,0,2013-08-24T00:00:00,2-0
Nurnberg,1357.90924262,205.11071447,FC Augsburg,1511.80251254,0,2013-08-31T00:00:00,0-1
Nurnberg,1307.35097065,193.533975676,TSV Eintracht Braunschweig,1145.18561585,0.5,2013-09-15T00:00:00,1-1
Nurnberg,1380.68162625,191.157561263,Borussia Dortmund,1707.17601468,0.5,2013-09-21T00:00:00,1-1
Nurnberg,1393.23303718,176.308653366,Werder Bremen,1434.58745144,0.5,2013-09-29T00:00:00,3-3
Nurnberg,1312.36519044,165.62633588,Hamburg SV,1404.29468927,0,2013-10-06T00:00:00,0-5
Nurnberg,1336.26770938,158.521257462,Eintracht Frankfurt,1441.8943854,0.5,2013-10-19T00:00:00,1-1
Nurnberg,1358.54320501,152.943374457,VfB Stuttgart,1465.34972162,0.5,2013-10-25T00:00:00,1-1
Nurnberg,1291.78595541,147.225865415,SC Freiburg,1350.97103131,0,2013-11-02T00:00:00,0-3
Nurnberg,1274.66080521,147.464182418,Borussia Monchengladbach,1640.56537468,0,2013-11-09T00:00:00,3-1
