fullname,mu,sigma,opp,opp_rating,result,date,score
Espanyol,1500.0,291.750423517,Celta Vigo,1500.0,0.5,2013-08-19T00:00:00,2-2
Espanyol,1682.09645747,254.330954643,Valencia,1481.8141544,1,2013-08-24T00:00:00,3-1
Espanyol,1584.07285751,241.144520396,Real Betis,1342.98188265,0.5,2013-09-01T00:00:00,0-0
Espanyol,1680.87239034,212.423720434,Granada,1462.08313966,1,2013-09-15T00:00:00,0-1
Espanyol,1776.52617966,192.245094486,Athletic Bilbao,1621.11105312,1,2013-09-23T00:00:00,3-2
Espanyol,1690.85706063,178.279569905,Villarreal,1823.58937628,0,2013-09-26T00:00:00,2-1
Espanyol,1576.93059425,171.846438544,Getafe,1560.34749043,0,2013-09-29T00:00:00,0-2
Espanyol,1478.98866626,165.004192549,Elche,1494.39393948,0,2013-10-05T00:00:00,2-1
Espanyol,1607.79498553,167.347227044,Atletico Madrid,1850.58654193,1,2013-10-19T00:00:00,1-0
Espanyol,1531.69705762,158.591404659,Levante,1607.45916003,0,2013-10-26T00:00:00,3-0
Espanyol,1499.81951802,154.717186631,Malaga,1340.70525606,0.5,2013-10-29T00:00:00,0-0
Espanyol,1489.03935932,156.749491093,Barcelona,1975.14961619,0,2013-11-01T00:00:00,1-0
Espanyol,1418.80957662,150.164204359,Sevilla FC,1475.96147832,0,2013-11-10T00:00:00,1-3
Espanyol,1460.06425037,145.621630997,Rayo Vallecano,1278.48172267,1,2013-11-24T00:00:00,1-4
