fullname,mu,sigma,opp,opp_rating,result,date,score
Eintracht Frankfurt,1336.0817892,291.752894037,Hertha Berlin,1663.9182108,0,2013-08-10T00:00:00,6-1
Eintracht Frankfurt,1277.14491626,263.968963767,Bayern Munich,1722.85508374,0,2013-08-17T00:00:00,0-1
Eintracht Frankfurt,1277.14491626,263.968963767,FK Qarabag,-1,1,2013-08-22T00:00:00,0-2
Eintracht Frankfurt,1394.23796794,230.373463947,TSV Eintracht Braunschweig,1160.05186458,1,2013-08-25T00:00:00,0-2
Eintracht Frankfurt,1394.23796794,230.373463947,FK Qarabag,-1,1,2013-08-29T00:00:00,2-1
Eintracht Frankfurt,1368.67284758,221.701109262,Borussia Dortmund,1865.51325578,0,2013-09-01T00:00:00,1-2
Eintracht Frankfurt,1490.00144416,200.090924987,Werder Bremen,1371.93552192,1,2013-09-14T00:00:00,0-3
Eintracht Frankfurt,1549.26453456,184.453120276,Bordeaux,1312.62172525,1,2013-09-19T00:00:00,3-0
Eintracht Frankfurt,1538.08995886,172.477220931,VfB Stuttgart,1498.23228355,0.5,2013-09-22T00:00:00,1-1
Eintracht Frankfurt,1498.57820187,167.147395015,Hamburg SV,1322.90658977,0.5,2013-09-28T00:00:00,2-2
Eintracht Frankfurt,1498.57820187,167.147395015,Apoel Nicosia,-1,1,2013-10-03T00:00:00,0-3
Eintracht Frankfurt,1464.65184774,161.560722638,SC Freiburg,1310.18964661,0.5,2013-10-06T00:00:00,1-1
Eintracht Frankfurt,1441.8943854,155.457362329,Nurnberg,1336.26770938,0.5,2013-10-19T00:00:00,1-1
Eintracht Frankfurt,1441.8943854,155.457362329,Maccabi Tel-Aviv,-1,1,2013-10-24T00:00:00,2-0
Eintracht Frankfurt,1398.03675522,149.670768414,Borussia Monchengladbach,1582.46875757,0,2013-10-27T00:00:00,4-1
Eintracht Frankfurt,1363.12128412,145.789064695,VfL Wolfsburg,1582.53296624,0,2013-11-02T00:00:00,1-2
Eintracht Frankfurt,1363.12128412,145.789064695,Maccabi Tel-Aviv,-1,0,2013-11-07T00:00:00,4-2
Eintracht Frankfurt,1307.55620485,141.401412109,Mainz,1394.86361954,0,2013-11-10T00:00:00,1-0
Eintracht Frankfurt,1341.05027855,141.535690875,Schalke 04,1560.24055666,0.5,2013-11-23T00:00:00,3-3
