fullname,mu,sigma,opp,opp_rating,result,date,score
Southampton,1663.9182108,291.752894037,West Bromwich Albion,1336.0817892,1,2013-08-17T00:00:00,0-1
Southampton,1575.69643507,263.970188296,Sunderland,1424.30356493,0.5,2013-08-24T00:00:00,1-1
Southampton,1382.4844754,238.175128101,Norwich City,1497.5465154,0,2013-08-31T00:00:00,1-0
Southampton,1393.19734309,211.311107433,West Ham United,1417.09743049,0.5,2013-09-15T00:00:00,0-0
Southampton,1563.40256669,203.351127406,Liverpool,1605.63363726,1,2013-09-21T00:00:00,0-1
Southampton,1599.17264981,192.814507616,Crystal Palace,1241.9461124,1,2013-09-28T00:00:00,2-0
Southampton,1672.26645955,177.415450423,Swansea City,1505.44869991,1,2013-10-06T00:00:00,2-0
Southampton,1649.33817612,167.343813211,Manchester United,1560.92335875,0.5,2013-10-19T00:00:00,1-1
Southampton,1676.43458492,163.041089264,Fulham,1350.86771427,1,2013-10-26T00:00:00,2-0
Southampton,1628.7358144,161.457129155,Stoke City,1373.98513326,0.5,2013-11-02T00:00:00,1-1
Southampton,1672.87446341,154.353733559,Hull City,1475.92038695,1,2013-11-09T00:00:00,4-1
Southampton,1637.00183535,149.638447568,Arsenal,1862.99413133,0,2013-11-23T00:00:00,2-0
