fullname,mu,sigma,opp,opp_rating,result,date,score
Osasuna,1336.0817892,291.752894037,Granada,1663.9182108,0,2013-08-18T00:00:00,1-2
Osasuna,1277.14491626,263.968963767,Athletic Bilbao,1722.85508374,0,2013-08-23T00:00:00,2-0
Osasuna,1243.44505583,249.445326811,Villarreal,1756.55494417,0,2013-08-31T00:00:00,0-3
Osasuna,1124.06979256,217.661090737,Getafe,1311.18056058,0,2013-09-15T00:00:00,2-1
Osasuna,1287.13564692,205.000355191,Elche,1275.80492998,1,2013-09-20T00:00:00,2-1
Osasuna,1278.67825074,205.452514574,Atletico Madrid,1949.59851585,0,2013-09-24T00:00:00,2-1
Osasuna,1231.5997337,190.752300219,Levante,1526.8043322,0,2013-09-29T00:00:00,0-1
Osasuna,1366.81099544,182.023505332,Malaga,1403.32434954,1,2013-10-04T00:00:00,0-1
Osasuna,1437.49507926,182.608613133,Barcelona,1828.38520916,0.5,2013-10-19T00:00:00,0-0
Osasuna,1365.36036573,168.75142325,Sevilla FC,1498.66173556,0,2013-10-27T00:00:00,2-1
Osasuna,1416.64893364,159.619662233,Rayo Vallecano,1233.81835187,1,2013-10-30T00:00:00,3-1
Osasuna,1361.81112119,151.87076743,Real Sociedad,1497.43571584,0,2013-11-02T00:00:00,5-0
Osasuna,1303.30130872,146.17800509,Almeria,1398.36691309,0,2013-11-08T00:00:00,0-1
