fullname,mu,sigma,opp,opp_rating,result,date,score
FC Augsburg,1336.0817892,291.752894037,Borussia Dortmund,1663.9182108,0,2013-08-10T00:00:00,0-4
FC Augsburg,1277.14491626,263.968963767,Werder Bremen,1722.85508374,0,2013-08-17T00:00:00,1-0
FC Augsburg,1394.23796794,230.373463947,VfB Stuttgart,1160.05186458,1,2013-08-25T00:00:00,2-1
FC Augsburg,1511.80251254,206.495838728,Nurnberg,1357.90924262,1,2013-08-31T00:00:00,0-1
FC Augsburg,1585.52245411,189.806923029,SC Freiburg,1371.62472576,1,2013-09-14T00:00:00,2-1
FC Augsburg,1512.89022152,175.775489666,Hannover 96,1677.73246567,0,2013-09-21T00:00:00,2-1
FC Augsburg,1511.71575413,165.299369264,Borussia Monchengladbach,1507.18480917,0.5,2013-09-27T00:00:00,2-2
FC Augsburg,1450.64471851,157.025490717,Schalke 04,1585.61929137,0,2013-10-05T00:00:00,4-1
FC Augsburg,1389.37932941,150.653951166,VfL Wolfsburg,1495.33316886,0,2013-10-20T00:00:00,1-2
FC Augsburg,1376.41003767,151.94579295,Bayer Leverkusen,1809.39479843,0,2013-10-26T00:00:00,2-1
FC Augsburg,1434.63515508,146.342256354,Mainz,1336.24292234,1,2013-11-03T00:00:00,2-1
FC Augsburg,1426.15757542,149.469085454,Bayern Munich,1938.36401709,0,2013-11-09T00:00:00,3-0
FC Augsburg,1479.9216753,144.213233008,TSG Hoffenheim,1370.02347505,1,2013-11-23T00:00:00,2-0
