fullname,mu,sigma,opp,opp_rating,result,date,score
Borussia Monchengladbach,1336.0817892,291.752894037,Bayern Munich,1663.9182108,0,2013-08-09T00:00:00,3-1
Borussia Monchengladbach,1571.4871019,263.983836944,Hannover 96,1428.5128981,1,2013-08-17T00:00:00,3-0
Borussia Monchengladbach,1489.90550316,233.546462068,Bayer Leverkusen,1804.41901576,0,2013-08-24T00:00:00,4-2
Borussia Monchengladbach,1618.91235623,209.681747511,Werder Bremen,1479.8935441,1,2013-08-31T00:00:00,4-1
Borussia Monchengladbach,1476.73923257,197.435158741,TSG Hoffenheim,1514.88968973,0,2013-09-15T00:00:00,2-1
Borussia Monchengladbach,1505.81802381,189.812813285,TSV Eintracht Braunschweig,1116.45476081,1,2013-09-20T00:00:00,4-1
Borussia Monchengladbach,1507.18480917,174.906438751,FC Augsburg,1511.71575413,0.5,2013-09-27T00:00:00,2-2
Borussia Monchengladbach,1624.45659176,169.687211878,Borussia Dortmund,1676.21372133,1,2013-10-05T00:00:00,2-0
Borussia Monchengladbach,1535.70536433,161.320185444,Hertha Berlin,1571.06924593,0,2013-10-19T00:00:00,1-0
Borussia Monchengladbach,1582.47322534,154.144584115,Eintracht Frankfurt,1398.0656074,1,2013-10-27T00:00:00,4-1
Borussia Monchengladbach,1623.10304588,148.882493044,Hamburg SV,1426.56404221,1,2013-11-02T00:00:00,0-2
Borussia Monchengladbach,1640.57371409,149.007678622,Nurnberg,1274.68765226,1,2013-11-09T00:00:00,3-1
Borussia Monchengladbach,1675.38973731,145.294870153,VfB Stuttgart,1458.40681185,1,2013-11-22T00:00:00,0-2
