name,mu,sigma,sanitizedname,last5,leaguerecord,otherrecord
Espanyol,1415.59043661,149.135018963,espanyol,1607.79|1531.70|1499.82|1484.79|1415.59,4-3-6,0-0-0
Manchester City,1557.13179929,153.669305289,manchestercity,1687.68|1639.20|1664.82|1664.82|1557.13,6-1-4,3-0-1
Elche,1471.49588897,143.27329178,elche,1559.65|1472.86|1503.18|1457.72|1471.50,3-5-5,0-0-0
Torino,1406.9318873,158.437994891,torino,1504.87|1479.79|1442.84|1502.91|1406.93,2-6-4,0-0-0
Paris Saint-Germain,1835.0569615,154.840928636,parissaint-germain,1780.18|1790.36|1790.36|1809.44|1835.06,10-4-0,3-1-0
Real Sociedad,1531.22143621,137.2392364,realsociedad,1452.58|1497.44|1516.47|1500.98|1531.22,5-5-4,2-1-3
Bordeaux,1483.10914598,133.100614899,bordeaux,1481.55|1534.82|1534.82|1491.57|1483.11,4-6-4,1-0-3
SC Freiburg,1363.9032096,138.187509974,scfreiburg,1286.57|1350.97|1350.97|1312.23|1363.90,2-5-6,0-3-1
Chelsea,1732.29282999,147.776512582,chelsea,1814.60|1708.32|1749.14|1715.64|1732.29,7-3-2,3-0-1
Schalke 04,1560.24055666,140.710571218,schalke04,1535.79|1594.24|1556.23|1593.27|1560.24,6-3-4,3-1-2
Celta Vigo,1311.40756679,146.860169324,celtavigo,1359.70|1350.74|1433.81|1346.27|1311.41,3-3-8,0-0-0
Real Madrid,1872.5817155,154.989226453,realmadrid,1850.58|1855.85|1843.73|1862.39|1872.58,11-1-2,3-1-0
Eintracht Frankfurt,1341.05027855,141.535690875,eintrachtfrankfurt,1398.04|1363.12|1363.12|1307.56|1341.05,2-5-6,5-0-1
Bologna,1303.64376572,144.926795365,bologna,1220.40|1301.91|1376.79|1350.44|1303.64,2-4-6,0-0-0
Catania,1349.79321307,155.350767815,catania,1268.66|1281.80|1270.54|1264.77|1349.79,2-3-7,0-0-0
West Bromwich Albion,1517.15847253,157.028026808,westbromwichalbion,1537.87|1500.89|1454.14|1478.12|1517.16,3-5-3,0-0-0
Borussia Monchengladbach,1675.37288208,145.296809545,borussiamonchengladbach,1535.71|1582.47|1623.10|1640.57|1675.37,8-1-4,0-0-0
Napoli,1705.86417083,153.460428907,napoli,1872.83|1878.43|1889.78|1813.99|1705.86,9-1-3,3-0-1
Lazio,1454.52804675,140.870687312,lazio,1526.30|1523.10|1458.47|1458.47|1454.53,4-4-4,2-2-0
AC Ajaccio,1243.92091323,141.140136042,acajaccio,1347.96|1317.12|1244.87|1274.11|1243.92,1-5-8,0-0-0
Nurnberg,1319.28949977,148.858320309,nurnberg,1336.27|1358.54|1291.79|1274.66|1319.29,0-8-5,0-0-0
Marseille,1474.88251376,137.783492025,marseille,1418.66|1426.24|1417.10|1446.16|1474.88,7-3-4,0-0-4
Crystal Palace,1319.35448936,166.177404521,crystalpalace,1165.63|1160.22|1133.61|1203.14|1319.35,2-1-9,0-0-0
Hertha Berlin,1513.63358305,140.883768815,herthaberlin,1571.07|1551.46|1492.84|1543.85|1513.63,5-3-5,0-0-0
Internazionale,1745.06963481,156.638252187,internazionale,1677.27|1744.87|1703.08|1728.63|1745.07,7-4-1,0-0-0
Manchester United,1723.95864395,146.242940299,manchesterunited,1608.05|1633.69|1655.86|1633.49|1723.96,6-2-3,2-2-0
Osasuna,1368.04603423,142.082665259,osasuna,1365.36|1416.65|1361.81|1303.30|1368.05,4-1-9,0-0-0
Southampton,1636.49215296,149.55454229,southampton,1649.34|1676.43|1628.72|1672.86|1636.49,6-4-2,0-0-0
Aston Villa,1529.14863096,142.536428958,astonvilla,1587.13|1520.78|1485.48|1478.64|1529.15,4-2-5,0-0-0
Real Betis,1360.45903051,149.565087085,realbetis,1407.00|1434.89|1366.92|1366.92|1360.46,2-3-8,4-2-0
Bayer Leverkusen,1747.39182081,150.401233724,bayerleverkusen,1809.39|1687.12|1687.12|1712.76|1747.39,10-1-2,2-1-1
Rayo Vallecano,1316.54420347,151.167351394,rayovallecano,1324.77|1278.91|1233.82|1228.87|1316.54,4-0-9,0-0-0
Sochaux,1250.33329256,146.883357866,sochaux,1267.36|1204.50|1242.73|1210.47|1250.33,1-5-8,0-0-0
Villarreal,1658.24355118,146.971980325,villarreal,1612.29|1645.71|1578.09|1623.30|1658.24,7-3-3,0-0-0
Hull City,1390.14798396,145.723323554,hullcity,1534.65|1490.30|1515.21|1475.92|1390.15,4-2-6,0-0-0
Norwich City,1404.28630354,147.999112404,norwichcity,1391.44|1390.51|1362.66|1434.21|1404.29,3-2-7,0-0-0
AC Milan,1452.26389567,144.79765128,acmilan,1507.98|1473.38|1461.94|1430.23|1452.26,3-5-5,2-3-1
Udinese,1333.85623555,149.010239023,udinese,1385.37|1380.09|1435.45|1411.04|1333.86,4-1-7,2-1-1
